Gender,Own_Car,Own_Property,Children_Count,Annual_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Employment_Days,Age_Days,Has_Work_Phone,Has_Phone,Has_Email,Occupation_Type,Family_Members,Status
M,N,N,5,246294,Commercial associate,Secondary / secondary special,Married,With parents,-6387,-23887,0,1,0,Drivers,3,0
M,N,N,2,83384,Working,Incomplete higher,Married,House / apartment,-8008,-24017,0,0,0,High skill tech staff,2,0
M,N,Y,2,134916,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22,-13498,0,1,0,Managers,1,0
F,N,Y,1,115078,Working,Secondary / secondary special,Married,House / apartment,-11199,-14037,1,0,0,High skill tech staff,1,0
F,Y,N,0,82053,Pensioner,Secondary / secondary special,Married,Municipal apartment,0,-14646,1,0,0,Sales staff,4,0
M,N,Y,0,209553,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-9527,-22873,0,0,0,Laborers,4,1
F,N,Y,0,256906,Commercial associate,Higher education,Married,With parents,-5397,-24440,0,0,0,Medicine staff,2,1
M,Y,Y,0,82610,Student,Higher education,Married,Rented apartment,-3559,-18348,0,0,0,Laborers,3,1
M,Y,Y,2,196158,Working,Secondary / secondary special,Single / not married,House / apartment,-10430,-14999,0,0,0,Drivers,3,1
M,N,Y,1,264431,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-12548,-16518,0,0,0,Drivers,5,0
M,N,Y,0,85539,Working,Higher education,Married,Office apartment,-12917,-12171,1,0,0,Security staff,2,1
F,N,Y,0,204461,Working,Higher education,Married,House / apartment,-2355,-23091,0,0,0,Private service staff,3,1
M,N,Y,0,214859,Working,Higher education,Single / not married,House / apartment,-2155,-9901,0,1,0,Laborers,1,1
F,Y,N,0,56450,Working,Higher education,Married,House / apartment,-3130,-17770,1,0,0,Accountants,2,0
F,N,Y,3,142579,Commercial associate,Secondary / secondary special,Married,House / apartment,-5458,-12119,1,0,0,Accountants,5,0
M,Y,Y,1,265159,Commercial associate,Secondary / secondary special,Married,With parents,-9837,-7188,1,0,0,Managers,2,1
F,N,Y,2,127059,Commercial associate,Secondary / secondary special,Married,House / apartment,-4441,-7669,0,0,0,High skill tech staff,2,0
F,N,Y,1,255140,Working,Secondary / secondary special,Married,House / apartment,-10167,-14281,0,0,0,IT staff,1,1
M,N,Y,0,248187,Working,Incomplete higher,Widow,House / apartment,-8199,-23652,0,0,0,Cleaning staff,3,1
F,N,Y,0,167180,State servant,Higher education,Married,House / apartment,-193,-16428,0,0,0,Cleaning staff,3,0
M,Y,N,2,152913,Working,Incomplete higher,Separated,Municipal apartment,-11660,-15104,0,1,0,Medicine staff,2,0
M,N,N,2,89055,Commercial associate,Secondary / secondary special,Married,House / apartment,-4236,-24691,0,1,0,Drivers,5,0
M,N,Y,0,142000,Pensioner,Higher education,Civil marriage,House / apartment,18,-19211,0,0,0,Secretaries,1,1
F,N,Y,1,161002,Pensioner,Higher education,Married,House / apartment,4,-15310,0,1,0,Private service staff,2,1
F,N,Y,1,160549,Working,Higher education,Married,Rented apartment,-14361,-13914,0,1,0,Cleaning staff,4,1
M,N,N,1,93279,Pensioner,Higher education,Single / not married,House / apartment,29,-18432,0,1,0,Core staff,2,0
M,N,N,3,256122,Working,Secondary / secondary special,Separated,Rented apartment,-3580,-11547,0,1,0,High skill tech staff,2,0
F,Y,Y,1,174503,Pensioner,Secondary / secondary special,Married,House / apartment,1,-16148,0,0,0,Accountants,2,1
M,Y,Y,1,157222,Working,Lower secondary,Single / not married,House / apartment,-2539,-14736,1,1,0,Security staff,3,1
M,N,Y,0,231429,Working,Secondary / secondary special,Married,With parents,-6904,-8951,1,0,0,Cleaning staff,1,1
F,N,Y,0,271478,Working,Secondary / secondary special,Single / not married,House / apartment,-6849,-13372,1,0,1,Drivers,4,1
F,Y,Y,0,140983,Pensioner,Secondary / secondary special,Single / not married,House / apartment,26,-22858,1,0,0,Cleaning staff,3,0
M,Y,Y,0,206055,Working,Secondary / secondary special,Married,House / apartment,-6623,-10157,0,0,1,Private service staff,2,1
F,Y,Y,2,94401,Working,Higher education,Married,House / apartment,-9600,-8825,0,0,0,Private service staff,3,1
F,N,N,2,209946,Working,Higher education,Married,House / apartment,-1712,-15203,1,0,0,Accountants,2,1
M,N,N,0,122070,Pensioner,Incomplete higher,Separated,House / apartment,19,-11513,0,1,0,Cooking staff,2,0
F,N,Y,2,95472,Pensioner,Secondary / secondary special,Married,House / apartment,25,-10175,0,1,0,IT staff,3,0
M,N,Y,0,258207,Commercial associate,Secondary / secondary special,Married,House / apartment,-11741,-14858,1,0,0,Sales staff,5,1
F,N,Y,0,146619,Commercial associate,Incomplete higher,Married,With parents,-11517,-24542,0,1,0,IT staff,1,0
F,N,Y,0,152977,Working,Academic degree,Single / not married,House / apartment,-11981,-17420,0,1,0,Managers,2,1
F,N,Y,0,204410,Working,Lower secondary,Married,House / apartment,-10221,-8279,0,0,1,Managers,2,1
M,N,Y,0,144520,State servant,Higher education,Single / not married,House / apartment,-4575,-9702,0,0,0,Managers,2,1
F,N,Y,1,109690,Working,Secondary / secondary special,Separated,House / apartment,-5241,-12865,0,0,0,Cleaning staff,2,0
M,N,Y,0,241623,Working,Secondary / secondary special,Married,House / apartment,-6234,-17620,0,0,0,Sales staff,1,1
M,Y,Y,4,141127,Working,Higher education,Married,Municipal apartment,-4774,-20980,0,1,0,Core staff,3,1
M,N,Y,0,201746,Working,Higher education,Widow,With parents,-828,-19357,0,0,0,Drivers,2,0
F,Y,Y,0,149406,Working,Higher education,Married,House / apartment,-13676,-7674,0,0,1,Drivers,2,1
F,N,Y,0,190930,Working,Secondary / secondary special,Single / not married,House / apartment,-10596,-8271,0,1,0,Sales staff,3,1
M,Y,N,1,233512,Working,Higher education,Single / not married,House / apartment,-5596,-16484,0,0,0,Cleaning staff,3,1
F,Y,Y,0,106379,Working,Secondary / secondary special,Single / not married,Office apartment,-9063,-18390,0,0,0,High skill tech staff,2,0
M,N,Y,2,139205,Working,Secondary / secondary special,Married,House / apartment,-13566,-13196,0,1,0,Security staff,2,0
F,Y,N,1,191097,Working,Secondary / secondary special,Married,House / apartment,-6271,-17184,0,1,0,Cooking staff,3,0
M,N,N,1,324095,Working,Incomplete higher,Single / not married,House / apartment,-7446,-13068,0,0,0,High skill tech staff,2,1
F,Y,Y,1,133269,Pensioner,Secondary / secondary special,Married,House / apartment,3,-8358,1,0,0,Medicine staff,2,0
M,N,N,0,302408,Working,Higher education,Single / not married,House / apartment,-5234,-7506,0,0,0,Secretaries,3,1
F,N,Y,0,339514,Commercial associate,Secondary / secondary special,Married,With parents,-6616,-18513,0,1,0,Cooking staff,1,1
M,N,Y,0,193547,Commercial associate,Higher education,Married,House / apartment,-5622,-7796,0,0,0,Security staff,1,1
M,Y,Y,1,414094,Commercial associate,Secondary / secondary special,Married,House / apartment,-2660,-19012,0,1,1,Drivers,1,1
M,Y,Y,0,138476,Working,Incomplete higher,Separated,House / apartment,-6334,-19365,1,0,0,Core staff,2,0
F,Y,Y,0,175907,Working,Secondary / secondary special,Married,House / apartment,-10731,-17907,0,0,0,Medicine staff,1,1
F,Y,Y,4,95596,Working,Secondary / secondary special,Married,House / apartment,-1493,-20396,0,0,0,Cooking staff,5,0
M,N,Y,0,216042,Commercial associate,Higher education,Separated,With parents,-7622,-7053,1,0,0,Sales staff,2,1
F,N,Y,2,269812,Working,Secondary / secondary special,Single / not married,House / apartment,-4995,-15601,0,0,0,Accountants,1,1
F,N,Y,2,170338,Pensioner,Secondary / secondary special,Separated,House / apartment,29,-23161,0,1,0,Managers,2,0
F,N,Y,0,123218,Pensioner,Secondary / secondary special,Married,Municipal apartment,9,-17325,0,0,0,High skill tech staff,4,0
F,N,Y,0,77931,Working,Higher education,Civil marriage,House / apartment,-3429,-13456,1,0,0,Laborers,2,1
M,N,Y,0,202443,Working,Secondary / secondary special,Married,House / apartment,-10448,-16999,0,0,0,Accountants,2,1
M,Y,N,1,340761,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13646,-15425,0,0,0,Managers,4,0
F,N,N,1,183822,Working,Higher education,Civil marriage,House / apartment,-1194,-22694,1,0,0,Core staff,2,1
F,N,Y,2,166990,Working,Secondary / secondary special,Married,House / apartment,-11600,-10770,0,0,0,Secretaries,2,1
F,N,N,3,105783,Pensioner,Secondary / secondary special,Married,House / apartment,12,-14336,0,0,0,High skill tech staff,2,0
M,Y,Y,1,210114,Working,Secondary / secondary special,Single / not married,House / apartment,-11246,-9886,0,1,0,Sales staff,2,1
M,N,Y,0,140725,State servant,Higher education,Married,House / apartment,-8735,-13841,0,0,0,Cooking staff,2,1
F,N,Y,0,236633,Commercial associate,Secondary / secondary special,Single / not married,With parents,-3279,-11701,0,0,0,High skill tech staff,3,1
F,N,Y,2,138294,Pensioner,Higher education,Married,House / apartment,29,-7656,0,1,0,Sales staff,2,1
F,N,Y,0,247405,Working,Higher education,Separated,Municipal apartment,-14842,-16371,0,0,1,Medicine staff,3,1
F,N,Y,0,220619,Working,Secondary / secondary special,Married,House / apartment,-8259,-24545,0,1,0,Accountants,1,1
F,N,N,2,241358,Commercial associate,Incomplete higher,Married,House / apartment,-13163,-15239,0,0,0,Private service staff,2,0
M,Y,Y,0,271105,Working,Secondary / secondary special,Married,House / apartment,-10389,-15190,0,0,0,Secretaries,2,1
M,N,Y,3,205216,Working,Secondary / secondary special,Married,House / apartment,-13975,-13196,0,0,0,Managers,4,1
F,Y,N,1,258297,Working,Higher education,Married,House / apartment,-7188,-23488,1,0,0,Secretaries,2,1
F,N,Y,0,216416,Working,Higher education,Married,House / apartment,-7754,-20262,0,0,0,Sales staff,3,1
M,N,Y,3,69484,Working,Secondary / secondary special,Married,House / apartment,-14342,-8225,1,0,0,Managers,2,0
M,Y,Y,0,125090,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,21,-22379,0,1,0,Managers,1,0
F,N,Y,0,188110,Working,Secondary / secondary special,Married,Rented apartment,-2398,-9282,0,0,0,Security staff,1,1
M,Y,Y,0,176882,Working,Secondary / secondary special,Single / not married,With parents,-10954,-18824,0,0,1,Core staff,2,1
M,N,Y,0,172702,Commercial associate,Higher education,Married,Rented apartment,-11179,-9505,0,1,0,Medicine staff,2,1
F,N,Y,1,168652,State servant,Higher education,Married,Co-op apartment,-12625,-15888,0,0,1,Core staff,2,1
F,N,Y,0,193621,Working,Secondary / secondary special,Married,House / apartment,-14725,-18959,0,1,0,Core staff,3,1
F,Y,Y,0,144487,Working,Secondary / secondary special,Married,House / apartment,-8141,-19790,1,1,1,Core staff,1,0
M,N,Y,0,159703,Commercial associate,Secondary / secondary special,Married,House / apartment,-2261,-20492,0,0,0,Cooking staff,3,1
F,N,Y,2,172691,Pensioner,Secondary / secondary special,Married,Municipal apartment,6,-18558,0,0,0,Medicine staff,2,1
M,Y,N,2,166391,Pensioner,Secondary / secondary special,Married,House / apartment,10,-18784,0,1,0,Managers,2,1
M,N,Y,0,212192,Commercial associate,Secondary / secondary special,Married,House / apartment,-1582,-24740,0,0,0,Managers,3,1
F,Y,Y,0,196126,Working,Secondary / secondary special,Married,House / apartment,-2146,-18167,0,1,0,Medicine staff,2,1
F,N,Y,0,90930,Commercial associate,Secondary / secondary special,Married,House / apartment,-14755,-15473,0,0,0,Medicine staff,2,0
F,Y,Y,0,203305,Working,Higher education,Married,House / apartment,-5920,-11754,0,0,0,Security staff,3,1
F,N,Y,2,113987,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-4597,-19056,0,0,0,Secretaries,4,0
F,N,Y,2,388406,Commercial associate,Incomplete higher,Married,Municipal apartment,-2783,-24666,0,0,0,Accountants,2,1
M,Y,N,0,130451,State servant,Higher education,Married,House / apartment,-8330,-17331,0,0,0,Drivers,1,0
M,Y,N,0,269078,Working,Lower secondary,Married,Office apartment,-6808,-22221,0,0,0,Managers,4,1
M,Y,Y,0,118418,Working,Incomplete higher,Married,House / apartment,-3898,-11741,0,0,0,Cleaning staff,2,0
M,N,N,1,190789,Commercial associate,Higher education,Married,Rented apartment,-12816,-19810,1,1,1,Medicine staff,3,1
F,Y,Y,0,131668,Commercial associate,Higher education,Single / not married,House / apartment,-2562,-21837,0,0,0,Cleaning staff,2,1
M,N,Y,4,120576,Pensioner,Secondary / secondary special,Single / not married,House / apartment,15,-15906,0,0,0,Sales staff,1,0
F,Y,Y,2,156147,Working,Higher education,Married,House / apartment,-9137,-13376,0,0,0,Cleaning staff,3,1
F,Y,Y,0,96928,Working,Higher education,Married,House / apartment,-11949,-24977,0,0,0,High skill tech staff,2,0
F,N,Y,1,239263,Working,Secondary / secondary special,Married,Municipal apartment,-5298,-20348,0,0,0,Cleaning staff,2,1
F,Y,Y,3,133463,Working,Higher education,Married,House / apartment,-11229,-22252,0,0,0,IT staff,2,0
F,N,Y,1,140885,Pensioner,Secondary / secondary special,Separated,House / apartment,16,-16905,1,0,0,Cooking staff,3,0
F,N,N,0,239515,Working,Secondary / secondary special,Single / not married,House / apartment,-5680,-21643,0,0,0,Security staff,3,0
M,N,Y,0,147225,Pensioner,Secondary / secondary special,Married,House / apartment,29,-12904,0,0,0,IT staff,1,0
F,N,Y,2,20000,Commercial associate,Higher education,Widow,House / apartment,-6111,-16905,0,0,0,Laborers,2,1
M,N,Y,1,99927,Pensioner,Incomplete higher,Married,House / apartment,12,-14320,0,0,0,Accountants,3,0
